id,fuente,localidad,tipo_restriccion,area_ha,length_m,bbox
NORM-PRC-limite_urbano-general-00001,PRC_LA_HIGUERA,general,limite_urbano,93.5,,"[-71.29101026063815, -29.63043607866998, -71.27440295626853, -29.61940933234726]"
NORM-PRC-riesgo_maremoto-caleta_los_hornos-00232,PRC_LA_HIGUERA,Caleta Los Hornos,riesgo_maremoto,,1550.0,"[-71.293492116826, -29.62304495247778, -71.28439459779237, -29.61825982888592]"
NORM-PRC-riesgo_maremoto-caleta_los_hornos-00233,PRC_LA_HIGUERA,Caleta Los Hornos,riesgo_maremoto,,1758.0,"[-71.29341664234096, -29.62322394525565, -71.28425255064553, -29.61889304212187]"
NORM-PRC-riesgo_maremoto-caleta_los_hornos-00234,PRC_LA_HIGUERA,Caleta Los Hornos,riesgo_maremoto,,1992.0,"[-71.29339935195148, -29.6236096105948, -71.28313775565269, -29.61910948732497]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00235,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.14,,"[-71.28302592555667, -29.62887045862301, -71.282541910745, -29.62812286148977]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00236,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.0,,"[-71.27929746406981, -29.62795842958318, -71.2792705056359, -29.62790479951257]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00237,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.4,,"[-71.2818651453524, -29.62951907051891, -71.28102582059755, -29.62763177689397]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00238,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.24,,"[-71.28262558123281, -29.62838617956678, -71.28216656510953, -29.62680734617065]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00239,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.51,,"[-71.28224088458481, -29.62795651067844, -71.27935406138734, -29.62656433907259]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00240,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.17,,"[-71.28558848268172, -29.62732418446391, -71.28522460608677, -29.62641272568697]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00241,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.43,,"[-71.28731777089612, -29.62721869120233, -71.28663613982397, -29.62582505478376]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00242,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.31,,"[-71.28600615563549, -29.62630982318562, -71.28534678905076, -29.62479792705596]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00243,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.37,,"[-71.28721286753996, -29.62575780497672, -71.2867586874223, -29.62395963079779]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00244,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.07,,"[-71.28611976061619, -29.62377260586023, -71.28530109031371, -29.62364689967003]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00245,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.16,,"[-71.28640608042119, -29.62468978690002, -71.28600103972371, -29.62362620611317]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00246,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.05,,"[-71.28671626407328, -29.62361588870837, -71.28634444604644, -29.62331653549819]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00247,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.02,,"[-71.28899725837115, -29.62307372349397, -71.28869168634259, -29.62289485234854]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00248,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.22,,"[-71.2886581742676, -29.62355823640673, -71.28736833876282, -29.62290139914305]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00249,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.0,,"[-71.2851647761534, -29.62144197872625, -71.2851027161575, -29.62138567758876]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00250,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.01,,"[-71.28560582139275, -29.62115950772041, -71.28539512052673, -29.62089731984758]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00251,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,1.74,,"[-71.28499143568732, -29.62679371322128, -71.27593088240458, -29.62010025516354]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00252,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.0,,"[-71.28509612646195, -29.61948784299981, -71.2850622279528, -29.61947531679617]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00253,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.06,,"[-71.28739285712574, -29.62386717025103, -71.28707326479969, -29.62346209813424]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00254,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.08,,"[-71.2868523238954, -29.62326687897552, -71.28658280923534, -29.62278368529052]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00255,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.22,,"[-71.28468356814707, -29.62571033167418, -71.28406959816421, -29.62472293596881]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00256,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,0.33,,"[-71.28408981195162, -29.62670170974149, -71.28225097398506, -29.62568808868072]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00257,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,2.63,,"[-71.29095973369722, -29.62313199323566, -71.2856558352497, -29.61969676197329]"
NORM-PRC-restriccion_AR1-caleta_los_hornos-00258,PRC_LA_HIGUERA,Caleta Los Hornos,restriccion_AR1,1.87,,"[-71.28925218746336, -29.62302421378226, -71.28625100877998, -29.62037485458563]"
