vivienda_id,tipo,personas_ids,cbr_fojas,cbr_numero,cbr_anio,fuente
VIV-0001,comodatario,PER-0001,,,,planilla_socioeconomica · columna marca X
VIV-0002,propietario,PER-0002,1014,994,1984,planilla_socioeconomica · columna marca X
VIV-0003,propietario,PER-0003,1046,1026,1984,planilla_socioeconomica · columna marca X
VIV-0004,usufructuario,PER-0004,2145,2040,1992,planilla_socioeconomica · columna marca X
VIV-0005,propietario,PER-0005,1019,999,1984,planilla_socioeconomica · columna marca X
VIV-0006,propietario,PER-0006,1023,1003,1984,planilla_socioeconomica · columna marca X
VIV-0008,propietario,PER-0008,1024,1004,1984,planilla_socioeconomica · columna marca X
VIV-0009,propietario,PER-0009,1022,1002,1984,planilla_socioeconomica · columna marca X
VIV-0010,propietario,PER-0010,6280,4387,2012,planilla_socioeconomica · columna marca X
VIV-0011,propietario,PER-0013,1018,998,1984,planilla_socioeconomica · columna marca X
VIV-0012,propietario,PER-0014,409,368,2003,planilla_socioeconomica · columna marca X
VIV-0013,usufructuario,PER-0015,167,153,2002,planilla_socioeconomica · columna marca X
VIV-0014,propietario,"PER-0017,PER-0018",8475,6825,2008,planilla_socioeconomica · columna marca X
VIV-0014,arrendador,PER-0019,8475,6825,2008,planilla_socioeconomica · columna marca X
VIV-0015,propietario,PER-0020,165,151,2002,planilla_socioeconomica · columna marca X
VIV-0016,propietario,PER-0021,4713,3910,2009,planilla_socioeconomica · columna marca X
VIV-0016,usufructuario,"PER-0021,PER-0022",4713,3910,2009,planilla_socioeconomica · columna marca X
VIV-0017,propietario,PER-0023,161,147,2002,planilla_socioeconomica · columna marca X
VIV-0017,arrendador,PER-0024,161,147,2002,planilla_socioeconomica · columna marca X
VIV-0018,propietario,PER-0025,162,148,2002,planilla_socioeconomica · columna marca X
VIV-0019,propietario,PER-0026,4362,4012,2001,planilla_socioeconomica · columna marca X
VIV-0020,propietario,PER-0027,1828,1750,1991,planilla_socioeconomica · columna marca X
VIV-0022,propietario,PER-0029,2078,1973,1992,planilla_socioeconomica · columna marca X
VIV-0023,propietario,PER-0030,3178,2957,1997,planilla_socioeconomica · columna marca X
VIV-0024,propietario,PER-0031,2076,1971,1992,planilla_socioeconomica · columna marca X
VIV-0026,propietario,PER-0033,871,804,2002,planilla_socioeconomica · columna marca X
VIV-0027,propietario,PER-0034,2077,1972,1992,planilla_socioeconomica · columna marca X
